"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1444942,"2024","ABRIL","LUNES","2024-04-29",5,"Hurto","Hurto total","NO","NO","PARQUE AVELLANEDA",9,"-34.647784","-58.491399",1
1444943,"2024","ABRIL","LUNES","2024-04-29",22,"Robo","Robo total","NO","SI","PARQUE CHACABUCO",7,"-34.642804","-58.444246",1
1444944,"2024","ABRIL","LUNES","2024-04-29",20,"Hurto","Hurto total","NO","NO","CABALLITO",6,"-34.608674","-58.45195",1
1444945,"2024","ABRIL","LUNES","2024-04-29",11,"Hurto","Hurto total","NO","NO","LINIERS",9,"-34.63587338","-58.50682336",1
1444946,"2024","ABRIL","LUNES","2024-04-29",7,"Robo","Robo total","NO","NO","MONTE CASTRO",10,"-34.61539541","-58.49512688",1
1444947,"2024","ABRIL","LUNES","2024-04-29",9,"Robo","Robo total","NO","SI","CABALLITO",6,"-34.624721","-58.446533",1
1444948,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.633968","-58.462014",1
1444949,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","VILLA LUGANO",8,"-34.682953","-58.465557",1
1444950,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto total","NO","NO","FLORES",7,"-34.64133259","-58.46336753",1
1444951,"2024","ABRIL","LUNES","2024-04-29",1,"Robo","Robo total","NO","NO","FLORES",7,"-34.62738047","-58.45467989",1
1444952,"2024","ABRIL","LUNES","2024-04-29",23,"Robo","Robo total","NO","NO","PARQUE PATRICIOS",4,"-34.630516","-58.390789",1
1444953,"2024","ABRIL","LUNES","2024-04-29",7,"Hurto","Hurto automotor","NO","NO","FLORES",7,"-34.618689","-58.457226",1
1444954,"2024","ABRIL","LUNES","2024-04-29",6,"Hurto","Hurto total","NO","NO","PARQUE CHACABUCO",7,"-34.632881","-58.444729",1
